Image  Lidar          Camera_FAST_BRIEF
41     7.79           9.47           
42     5.11           7.69           
43     7.14           8.23           
44     5.01           10.47          
45     5.57           8.89           
46     6.08           10.06          
47     6.25           10.00          
48     4.45           11.34          
49     34.56          14.27          
50     14.39          18.16          
51     14.77          22.87          
52     -73.97         40.20          
53     15.75          115.34         
54     -49.10         -106.01        
55     -27.72         -73.16         
56     27.62          697.88         
57     -110.58        -440.31        
58     49.05          -129.77        
59     -147.24        -546.53        
60     63.00          -366.20        
61     -26.04         -344.08        
62     44.17          -359.04        
63     147.14         -561.73        
64     -220.82        -893.80        
65     -73.70         -849.83        
66     36.75          -599.97        
67     -63.10         -435.29        
68     -110.52        -1224.73       
69     29.37          -690.98        
70     -110.26        -338.03        
71     inf            -1496.11       
72     88.11          4727.90        
73     -220.37        -3048.87       
74     -88.24         1367.15        
75     -147.18        1436.61        
76     73.48          2259.55        

Image  Lidar          Camera_FAST_ORB

1      12.97          12.72          
2      12.26          11.76          
3      13.92          14.44          
4      14.89          13.57          
5      7.42           12.69          
6      12.42          12.28          
7      29.06          13.50          
8      9.34           13.21          
9      18.13          12.60          
10     18.03          13.44          
11     14.99          11.39          
12     10.10          11.51          
13     9.22           11.92          
14     10.97          10.80          
15     8.09           9.92           
16     8.81           10.24          
17     10.29          9.61           
18     8.52           12.79          
19     8.64           9.27           
20     4.86           11.02          
21     3.74           8.50           
22     22.99          9.54           
23     6.43           9.51           
24     5.17           7.92           
25     4.39           9.37           
26     9.98           10.08          
27     7.06           9.22           
28     12.67          11.03          
29     7.25           9.94           
30     7.24           12.11          
31     11.04          13.34          
32     10.94          14.04          
33     9.23           13.87          
34     7.61           11.60          
35     6.59           10.01          
36     10.63          9.47           
37     4.24           8.52           
38     7.69           9.55           
39     8.61           9.51           
40     3.83           9.20           
41     7.79           9.03           
42     5.11           8.42           
43     7.14           7.88           
44     5.01           8.09           
45     5.57           8.69           
46     6.08           10.10          
47     6.25           9.99           
48     4.45           11.98          
49     34.56          13.41          
50     14.39          16.01          
51     14.77          18.82          
52     -73.97         231.74         
53     15.75          -inf           
54     -49.10         -inf           
55     -27.72         -inf           
56     27.62          -inf           
57     -110.58        -inf           
58     49.05          -inf           
59     -147.24        -inf           
60     63.00          -inf           
61     -26.04         -inf           
62     44.17          -inf           
63     147.14         -inf           
64     -220.82        -inf           
65     -73.70         -inf           
66     36.75          -inf           
67     -63.10         -inf           
68     -110.52        -inf           
69     29.37          -inf           
70     -110.26        -inf           
71     inf            -inf           
72     88.11          -inf           
73     -220.37        -inf           
74     -88.24         -inf           
75     -147.18        -inf           
76     73.48          -inf           

Image  Lidar          Camera_FAST_BRISK

1      12.97          12.81          
2      12.26          11.21          
3      13.92          12.94          
4      14.89          12.92          
5      7.42           13.20          
6      12.42          12.13          
7      29.06          12.93          
8      9.34           12.47          
9      18.13          12.37          
10     18.03          13.58          
11     14.99          11.90          
12     10.10          11.95          
13     9.22           11.64          
14     10.97          11.31          
15     8.09           11.07          
16     8.81           11.13          
17     10.29          11.09          
18     8.52           11.76          
19     8.64           10.55          
20     4.86           11.16          
21     3.74           9.88           
22     22.99          10.21          
23     6.43           10.35          
24     5.17           8.10           
25     4.39           10.68          
26     9.98           9.46           
27     7.06           9.42           
28     12.67          11.24          
29     7.25           9.42           
30     7.24           11.80          
31     11.04          12.38          
32     10.94          14.92          
33     9.23           13.41          
34     7.61           11.79          
35     6.59           9.44           
36     10.63          8.85           
37     4.24           8.08           
38     7.69           8.70           
39     8.61           9.47           
40     3.83           9.06           
41     7.79           8.01           
42     5.11           7.92           
43     7.14           7.84           
44     5.01           8.44           
45     5.57           8.42           
46     6.08           9.86           
47     6.25           9.19           
48     4.45           11.85          
49     34.56          14.51          
50     14.39          15.88          
51     14.77          19.76          
52     -73.97         2289.85        
53     15.75          -inf           
54     -49.10         -inf           
55     -27.72         -inf           
56     27.62          -inf           
57     -110.58        -inf           
58     49.05          -inf           
59     -147.24        -inf           
60     63.00          -inf           
61     -26.04         -inf           
62     44.17          -inf           
63     147.14         -inf           
64     -220.82        -inf           
65     -73.70         -inf           
66     36.75          -inf           
67     -63.10         -inf           
68     -110.52        -inf           
69     29.37          -inf           
70     -110.26        -inf           
71     inf            -inf           
72     88.11          -inf           
73     -220.37        -inf           
74     -88.24         -inf           
75     -147.18        -inf           
76     73.48          -inf           

