Image  Lidar          Camera_FAST_BRIEF
36     10.63          8.27           
37     7.03           8.31           
38     5.09           12.20          
39     5.48           10.03          
40     5.21           10.59          
41     5.16           9.43           
42     5.94           7.68           
43     13.82          6.45           
44     4.74           8.29           
45     5.61           8.97           
46     6.55           9.84           
47     6.95           8.08           
48     14.97          11.07          
49     -149.75        13.19          
50     14.39          16.95          
51     14.77          17.33          
52     -63.41         51.63          
53     15.21          -inf           
54     -49.10         -inf           
55     -27.72         -inf           
56     27.62          -inf           
57     -110.58        -inf           
58     49.05          -inf           
59     -147.24        -inf           
60     63.00          -inf           
61     -26.04         -inf           
62     44.17          -inf           
63     147.14         -inf           
64     -220.82        -inf           
65     -73.70         -inf           
66     36.75          -inf           
67     -63.10         -inf           
68     5.87           -inf           
69     -6.99          -inf           
70     -110.26        -inf           
71     inf            -inf           
72     88.11          -inf           
73     -220.37        -inf           
74     -88.24         -inf           
75     -147.18        -inf           
76     73.48          -inf           

Image  Lidar          Camera_FAST_SIFT

1      12.97          -inf           
2      12.26          9.52           
3      16.96          473.30         
4      13.13          262.04         
5      12.60          110.18         
6      13.87          14.71          
7      15.16          8.74           
8      11.93          11.21          
9      15.89          9.94           
10     9.86           11.18          
11     14.99          6.90           
12     10.10          14.55          
13     9.22           5.88           
14     10.97          12.60          
15     8.09           7.08           
16     8.81           10.35          
17     10.29          9.56           
18     8.31           13.29          
19     7.64           12.95          
20     6.43           6.22           
21     4.96           19.02          
22     6.81           6.58           
23     12.45          7.17           
24     8.72           66.95          
25     4.80           8.07           
26     9.98           13.20          
27     7.06           9.71           
28     12.67          8.89           
29     7.25           12.04          
30     7.24           13.23          
31     11.04          14.10          
32     10.94          14.30          
33     9.23           -inf           
34     7.61           39.35          
35     6.59           6.72           
36     10.63          7.29           
37     7.03           14.85          
38     5.09           15.32          
39     5.48           8.64           
40     5.21           10.25          
41     5.16           7.42           
42     5.94           20.50          
43     13.82          8.51           
44     4.74           8.02           
45     5.61           11.62          
46     6.55           15.11          
47     6.95           8.98           
48     14.97          13.79          
49     -149.75        12.11          
50     14.39          10.79          
51     14.77          23.76          
52     -63.41         -inf           
53     15.21          -inf           
54     -49.10         -46.42         
55     -27.72         -22.82         
56     27.62          -inf           
57     -110.58        -20.71         
58     49.05          -216.62        
59     -147.24        -inf           
60     63.00          -inf           
61     -26.04         -inf           
62     44.17          330.27         
63     147.14         -inf           
64     -220.82        -inf           
65     -73.70         -inf           
66     36.75          -24.89         
67     -63.10         -28.34         
68     5.87           -inf           
69     -6.99          -inf           
70     -110.26        -inf           
71     inf            51.00          
72     88.11          -inf           
73     -220.37        -inf           
74     -88.24         -inf           
75     -147.18        -inf           
76     73.48          -inf           

Image  Lidar          Camera_BRISK_BRISK

1      12.97          -14.87         
2      12.26          12.49          
3      16.96          17.18          
4      13.13          15.05          
5      12.60          13.41          
6      13.87          13.93          
7      15.16          14.54          
8      11.93          15.35          
9      15.89          17.75          
10     9.86           13.75          
11     14.99          11.45          
12     10.10          8.53           
13     9.22           11.13          
14     10.97          10.45          
15     8.09           21.04          
16     8.81           8.61           
17     10.29          11.18          
18     8.31           8.57           
19     7.64           8.16           
20     6.43           6.54           
21     4.96           6.34           
22     6.81           7.92           
23     12.45          12.59          
24     8.72           7.64           
25     4.80           9.01           
26     9.98           10.75          
27     7.06           11.21          
28     12.67          9.65           
29     7.25           15.19          
30     7.24           17.45          
31     11.04          10.96          
32     10.94          15.22          
33     9.23           35.89          
34     7.61           13.88          
35     6.59           8.94           
36     10.63          7.52           
37     7.03           9.86           
38     5.09           12.18          
39     5.48           11.88          
40     5.21           7.66           
41     5.16           7.73           
42     5.94           7.05           
43     13.82          9.48           
44     4.74           13.95          
45     5.61           10.07          
46     6.55           9.95           
47     6.95           8.05           
48     14.97          13.32          
49     -149.75        11.77          
50     14.39          14.02          
51     14.77          28.63          
52     -63.41         60.62          
53     15.21          78.86          
54     -49.10         -202.62        
55     -27.72         -50.45         
56     27.62          -156.44        
57     -110.58        -2156.05       
58     49.05          -154.48        
59     -147.24        -201.88        
60     63.00          -104.23        
61     -26.04         121.04         
62     44.17          -274.93        
63     147.14         409.10         
64     -220.82        -524.81        
65     -73.70         -2510.68       
66     36.75          -225.30        
67     -63.10         -725.50        
68     5.87           856.02         
69     -6.99          -9385.95       
70     -110.26        -508.12        
71     inf            400.34         
72     88.11          367.16         
73     -220.37        -606.78        
74     -88.24         1752.82        
75     -147.18        785.56         
76     73.48          1175.09        

Image  Lidar          Camera_BRISK_BRIEF

1      12.97          11.55          
2      12.26          15.84          
3      16.96          14.17          
4      13.13          17.99          
5      12.60          20.98          
6      13.87          26.85          
7      15.16          10.26          
8      11.93          20.01          
9      15.89          10.05          
10     9.86           16.42          
11     14.99          10.66          
12     10.10          17.01          
13     9.22           10.72          
14     10.97          12.54          
15     8.09           11.49          
16     8.81           11.37          
17     10.29          9.00           
18     8.31           11.94          
19     7.64           11.59          
20     6.43           10.30          
21     4.96           9.35           
22     6.81           10.69          
23     12.45          9.76           
24     8.72           14.38          
25     4.80           9.10           
26     9.98           9.81           
27     7.06           11.47          
28     12.67          10.48          
29     7.25           10.38          
30     7.24           12.32          
31     11.04          18.70          
32     10.94          14.68          
33     9.23           14.36          
34     7.61           11.73          
35     6.59           9.33           
36     10.63          8.59           
37     7.03           10.27          
38     5.09           8.82           
39     5.48           12.41          
40     5.21           9.02           
41     5.16           8.17           
42     5.94           6.95           
43     13.82          7.14           
44     4.74           7.60           
45     5.61           8.42           
46     6.55           10.47          
47     6.95           10.95          
48     14.97          11.94          
49     -149.75        12.97          
50     14.39          17.57          
51     14.77          23.78          
52     -63.41         43.66          
53     15.21          145.65         
54     -49.10         -185.45        
55     -27.72         -90.91         
56     27.62          360.78         
57     -110.58        4816.74        
58     49.05          -148.35        
59     -147.24        -165.41        
60     63.00          -505.43        
61     -26.04         436.99         
62     44.17          -226.12        
63     147.14         -558.83        
64     -220.82        -1357.77       
65     -73.70         -5858.23       
66     36.75          -585.72        
67     -63.10         -385.21        
68     5.87           5839.04        
69     -6.99          -479.08        
70     -110.26        -1293.23       
71     inf            -3039.78       
72     88.11          2290.46        
73     -220.37        -2344.83       
74     -88.24         9280.87        
75     -147.18        4483.30        
76     73.48          3440.28        

Image  Lidar          Camera_FAST_FREAK

1      12.97          10.78          
2      12.26          13.14          
3      16.96          16.06          
4      13.13          11.21          
5      12.60          10.44          
6      13.87          10.32          
7      15.16          12.15          
8      11.93          11.69          
9      15.89          14.35          
10     9.86           8.06           
11     14.99          11.51          
12     10.10          11.53          
13     9.22           12.17          
14     10.97          9.76           
15     8.09           7.23           
16     8.81           16.99          
17     10.29          12.48          
18     8.31           6.07           
19     7.64           10.54          
20     6.43           12.16          
21     4.96           7.83           
22     6.81           10.58          
23     12.45          8.48           
24     8.72           7.87           
25     4.80           8.22           
26     9.98           8.54           
27     7.06           12.59          
28     12.67          11.78          
29     7.25           8.50           
30     7.24           22.25          
31     11.04          10.74          
32     10.94          12.34          
33     9.23           15.93          
34     7.61           9.29           
35     6.59           9.95           
36     10.63          8.20           
37     7.03           8.46           
38     5.09           14.41          
39     5.48           10.70          
40     5.21           9.98           
41     5.16           11.79          
42     5.94           8.40           
43     13.82          7.85           
44     4.74           7.93           
45     5.61           8.32           
46     6.55           11.26          
47     6.95           8.37           
48     14.97          14.79          
49     -149.75        16.04          
50     14.39          15.67          
51     14.77          25.24          
52     -63.41         28.29          
53     15.21          -inf           
54     -49.10         -inf           
55     -27.72         -75.58         
56     27.62          -inf           
57     -110.58        -inf           
58     49.05          -54.81         
59     -147.24        -inf           
60     63.00          -inf           
61     -26.04         -inf           
62     44.17          -inf           
63     147.14         -inf           
64     -220.82        -inf           
65     -73.70         -inf           
66     36.75          -inf           
67     -63.10         -inf           
68     5.87           -inf           
69     -6.99          -inf           
70     -110.26        -inf           
71     inf            -inf           
72     88.11          -inf           
73     -220.37        -inf           
74     -88.24         -inf           
75     -147.18        -inf           
76     73.48          -inf           

Image  Lidar          Camera_AKAZE_AKAZE

1      12.97          14.31          
2      12.26          11.18          
3      16.96          12.60          
4      13.13          10.79          
5      12.60          19.55          
6      13.87          13.80          
7      15.16          14.61          
8      11.93          12.88          
9      15.89          12.64          
10     9.86           11.02          
11     14.99          10.89          
12     10.10          10.40          
13     9.22           11.56          
14     10.97          8.06           
15     8.09           9.53           
16     8.81           8.87           
17     10.29          10.01          
18     8.31           8.37           
19     7.64           7.71           
20     6.43           8.34           
21     4.96           8.10           
22     6.81           7.93           
23     12.45          7.94           
24     8.72           8.91           
25     4.80           7.95           
26     9.98           8.55           
27     7.06           9.13           
28     12.67          7.71           
29     7.25           9.95           
30     7.24           8.29           
31     11.04          13.32          
32     10.94          10.55          
33     9.23           17.37          
34     7.61           8.92           
35     6.59           7.92           
36     10.63          7.85           
37     7.03           6.60           
38     5.09           9.43           
39     5.48           8.04           
40     5.21           6.63           
41     5.16           6.98           
42     5.94           6.96           
43     13.82          7.31           
44     4.74           10.50          
45     5.61           7.64           
46     6.55           25.64          
47     6.95           19.77          
48     14.97          10.79          
49     -149.75        11.16          
50     14.39          16.37          
51     14.77          20.26          
52     -63.41         35.00          
53     15.21          -150.01        
54     -49.10         -89.52         
55     -27.72         -25.04         
56     27.62          -218.15        
57     -110.58        -152.94        
58     49.05          -148.30        
59     -147.24        -1459.04       
60     63.00          -311.26        
61     -26.04         -139.63        
62     44.17          -313.75        
63     147.14         -266.70        
64     -220.82        -139.65        
65     -73.70         -108.23        
66     36.75          -488.19        
67     -63.10         -587.45        
68     5.87           -1373.20       
69     -6.99          -497.65        
70     -110.26        -120.30        
71     inf            -545.06        
72     88.11          651.71         
73     -220.37        -4612.68       
74     -88.24         -7958.47       
75     -147.18        681.49         
76     73.48          1262.94        

Image  Lidar          Camera_SIFT_SIFT

1      12.97          13.89          
2      12.26          17.84          
3      16.96          22.20          
4      13.13          7.29           
5      12.60          43.56          
6      13.87          12.27          
7      15.16          7.69           
8      11.93          6.22           
9      15.89          8.44           
10     9.86           8.70           
11     14.99          6.89           
12     10.10          8.10           
13     9.22           -87.21         
14     10.97          7.35           
15     8.09           6.09           
16     8.81           14.43          
17     10.29          6.88           
18     8.31           15.01          
19     7.64           10.35          
20     6.43           6.02           
21     4.96           7.41           
22     6.81           14.00          
23     12.45          43.81          
24     8.72           6.54           
25     4.80           6.78           
26     9.98           7.29           
27     7.06           6.64           
28     12.67          5.42           
29     7.25           8.19           
30     7.24           16.74          
31     11.04          8.50           
32     10.94          6.41           
33     9.23           17.51          
34     7.61           7.51           
35     6.59           10.69          
36     10.63          8.39           
37     7.03           7.29           
38     5.09           11.49          
39     5.48           12.98          
40     5.21           16.78          
41     5.16           23.58          
42     5.94           78.90          
43     13.82          -87.18         
44     4.74           -71.57         
45     5.61           547.95         
46     6.55           -1569.38       
47     6.95           -106.51        
48     14.97          -729.63        
49     -149.75        -169.96        
50     14.39          -152.88        
51     14.77          1857.96        
52     -63.41         -762.71        
53     15.21          -66.72         
54     -49.10         -206.35        
55     -27.72         -189.19        
56     27.62          -143.91        
57     -110.58        -126.62        
58     49.05          -722.49        
59     -147.24        -133.49        
60     63.00          -439.91        
61     -26.04         371.69         
62     44.17          228.82         
63     147.14         -1458.07       
64     -220.82        -319.03        
65     -73.70         334.44         
66     36.75          
67     -63.10         
68     5.87           
69     -6.99          
70     -110.26        
71     inf            
72     88.11          
73     -220.37        
74     -88.24         
75     -147.18        
76     73.48          

Image  Lidar          Camera_FAST_BRIEF

1      12.97          11.17          
2      12.26          10.77          
3      16.96          15.47          
4      13.13          13.40          
5      12.60          41.09          
6      13.87          11.92          
7      15.16          11.51          
8      11.93          11.57          
9      15.89          10.65          
10     9.86           15.03          
11     14.99          12.42          
12     10.10          10.26          
13     9.22           12.42          
14     10.97          11.04          
15     8.09           11.89          
16     8.81           9.11           
17     10.29          9.36           
18     8.31           12.47          
19     7.64           9.76           
20     6.43           10.18          
21     4.96           8.84           
22     6.81           9.30           
23     12.45          8.23           
24     8.72           7.63           
25     4.80           8.53           
26     9.98           10.57          
27     7.06           9.27           
28     12.67          10.60          
29     7.25           9.22           
30     7.24           12.17          
31     11.04          11.25          
32     10.94          12.63          
33     9.23           13.17          
34     7.61           12.18          
35     6.59           8.47           
36     10.63          8.51           
37     7.03           9.59           
38     5.09           10.20          
39     5.48           10.45          
40     5.21           10.89          
41     5.16           9.04           
42     5.94           7.40           
43     13.82          7.40           
44     4.74           8.05           
45     5.61           8.62           

Image  Lidar          Camera_FAST_FREAK

1      12.97          10.78          
2      12.26          13.14          
3      16.96          16.06          
4      13.13          11.21          
5      12.60          10.44          
6      13.87          10.32          
7      15.16          12.15          
8      11.93          11.69          
9      15.89          14.35          
10     9.86           8.06           
11     14.99          11.51          
12     10.10          11.53          
13     9.22           12.17          
14     10.97          9.76           
15     8.09           7.23           
16     8.81           16.99          
17     10.29          12.48          
18     8.31           6.07           
19     7.64           10.54          
20     6.43           12.16          
21     4.96           7.83           
22     6.81           10.58          
23     12.45          8.48           
24     8.72           7.87           
25     4.80           8.22           
26     9.98           8.54           
27     7.06           12.59          
28     12.67          11.78          
29     7.25           8.50           
30     7.24           22.25          
31     11.04          10.74          
32     10.94          12.34          
33     9.23           15.93          
34     7.61           9.29           
35     6.59           9.95           
36     10.63          8.20           
37     7.03           8.46           
38     5.09           14.41          
39     5.48           10.70          
40     5.21           9.98           
41     5.16           11.79          
42     5.94           8.40           
43     13.82          7.85           
44     4.74           7.93           
45     5.61           8.32           

Image  Lidar          Camera_AKAZE_AKAZE

1      12.97          14.31          
2      12.26          11.18          
3      16.96          12.60          
4      13.13          10.79          
5      12.60          19.55          
6      13.87          13.80          
7      15.16          14.61          
8      11.93          12.88          
9      15.89          12.64          
10     9.86           11.02          
11     14.99          10.89          
12     10.10          10.40          
13     9.22           11.56          
14     10.97          8.06           
15     8.09           9.53           
16     8.81           8.87           
17     10.29          10.01          
18     8.31           8.37           
19     7.64           7.71           
20     6.43           8.34           
21     4.96           8.10           
22     6.81           7.93           
23     12.45          7.94           
24     8.72           8.91           
25     4.80           7.95           
26     9.98           8.55           
27     7.06           9.13           
28     12.67          7.71           
29     7.25           9.95           
30     7.24           8.29           
31     11.04          13.32          
32     10.94          10.55          
33     9.23           17.37          
34     7.61           8.92           
35     6.59           7.92           
36     10.63          7.85           
37     7.03           6.60           
38     5.09           9.43           
39     5.48           8.04           
40     5.21           6.63           
41     5.16           6.98           
42     5.94           6.96           
43     13.82          7.31           
44     4.74           10.50          
45     5.61           7.64           

Image  Lidar          Camera_FAST_BRISK

1      12.97          10.28          
2      12.26          12.35          
3      16.96          -346.12        
4      13.13          11.17          
5      12.60          12.76          
6      13.87          11.88          
7      15.16          13.27          
8      11.93          42.64          
9      15.89          11.56          
10     9.86           12.60          
11     14.99          12.02          
12     10.10          8.56           
13     9.22           10.42          
14     10.97          10.40          
15     8.09           11.24          
16     8.81           11.44          
17     10.29          10.45          
18     8.31           12.61          
19     7.64           8.06           
20     6.43           10.43          
21     4.96           7.13           
22     6.81           9.34           
23     12.45          7.70           
24     8.72           8.08           
25     4.80           7.38           
26     9.98           6.99           
27     7.06           8.31           
28     12.67          12.68          
29     7.25           8.54           
30     7.24           15.29          
31     11.04          14.58          
32     10.94          11.57          
33     9.23           10.36          
34     7.61           12.04          
35     6.59           9.81           
36     10.63          9.28           
37     7.03           8.76           
38     5.09           7.25           
39     5.48           10.70          
40     5.21           8.80           
41     5.16           9.86           
42     5.94           8.66           
43     13.82          10.22          
44     4.74           9.01           
45     5.61           7.18           

